provider,region,latency_ms,distancia_km,latencia_norm
AWS,eu-south-2,13.5,14.256019891511317,0.9469683756571156
AWS,eu-south-1,29.5,1000.0,0.0295
AWS,eu-central-2,35.5,1000.0,0.0355
AWS,eu-west-3,39.5,1039.7465062975143,0.03799002907031401
AWS,eu-central-1,40.0,1000.0,0.04
AWS,eu-west-2,42.5,1000.0,0.0425
AWS,eu-west-1,44.5,1436.8294550025428,0.03097096864562903
AWS,eu-north-1,58.5,1000.0,0.0585
AWS,me-south-1,101.0,1000.0,0.101
AWS,ca-central-1,106.0,1000.0,0.106
AWS,us-east-1,113.67,6110.697301162967,0.01860180506377999
AWS,us-east-2,114.67,1000.0,0.11467000000000001
AWS,ap-south-1,115.5,1000.0,0.1155
AWS,me-central-1,121.5,1000.0,0.1215
AWS,ap-south-2,128.5,1000.0,0.1285
AWS,af-south-1,130.5,1000.0,0.1305
AWS,us-west-1,154.0,1000.0,0.154
AWS,ca-west-1,155.5,1000.0,0.1555
AWS,us-west-2,164.33,1000.0,0.16433
AWS,ap-east-1,192.0,1000.0,0.192
AWS,sa-east-1,222.5,1000.0,0.2225
AWS,ap-northeast-2,228.0,1000.0,0.228
AWS,ap-northeast-1,229.0,1000.0,0.229
AWS,ap-northeast-3,235.0,1000.0,0.235
AWS,ap-southeast-5,270.5,1000.0,0.2705
AWS,ap-southeast-1,272.0,11377.091838078877,0.023907691338978382
AWS,ap-east-2,281.33,1000.0,0.28132999999999997
AWS,ap-southeast-7,344.5,1000.0,0.3445
AWS,ap-southeast-2,350.0,1000.0,0.35
AWS,ap-southeast-4,357.0,1000.0,0.357
AWS,ap-southeast-3,359.5,1000.0,0.3595
AWS,eu-south-2,15.0,14.256019891511317,1.0521870840634617
AWS,eu-south-1,30.5,1000.0,0.0305
AWS,eu-central-2,33.0,1000.0,0.033
AWS,eu-central-1,38.5,1000.0,0.0385
AWS,eu-west-3,38.5,1039.7465062975143,0.03702825618245796
AWS,eu-west-2,42.0,1000.0,0.042
AWS,eu-west-1,42.0,1436.8294550025428,0.029231026586885825
AWS,eu-north-1,59.0,1000.0,0.059
AWS,me-south-1,97.0,1000.0,0.097
AWS,us-east-1,98.33,6110.697301162967,0.016091453258744493
AWS,us-east-2,114.0,1000.0,0.114
AWS,ap-south-1,118.33,1000.0,0.11833
AWS,me-central-1,123.5,1000.0,0.1235
AWS,af-south-1,129.0,1000.0,0.129
AWS,ap-south-2,131.67,1000.0,0.13166999999999998
AWS,us-west-1,153.67,1000.0,0.15367
AWS,ca-west-1,160.0,1000.0,0.16
AWS,us-west-2,164.33,1000.0,0.16433
AWS,ap-east-1,178.67,1000.0,0.17867
AWS,ca-central-1,192.0,1000.0,0.192
AWS,sa-east-1,222.0,1000.0,0.222
AWS,ap-northeast-2,226.67,1000.0,0.22666999999999998
AWS,ap-northeast-1,238.33,1000.0,0.23833000000000001
AWS,ap-northeast-3,244.67,1000.0,0.24467
AWS,ap-southeast-1,265.67,11377.091838078877,0.02335131013980289
AWS,ap-southeast-3,279.0,1000.0,0.279
AWS,ap-east-2,279.33,1000.0,0.27932999999999997
AWS,ap-southeast-7,290.67,1000.0,0.29067000000000004
AWS,ap-southeast-5,326.67,1000.0,0.32667
AWS,ap-southeast-2,346.0,1000.0,0.346
AWS,ap-southeast-4,357.0,1000.0,0.357
AWS,eu-south-2,13.5,14.256019891511317,0.9469683756571156
AWS,eu-south-1,32.0,1000.0,0.032
AWS,eu-central-2,35.5,1000.0,0.0355
AWS,eu-central-1,38.0,1000.0,0.038
AWS,eu-west-3,38.0,1039.7465062975143,0.036547369738529935
AWS,eu-west-1,40.0,1436.8294550025428,0.027839072939891265
AWS,eu-west-2,43.5,1000.0,0.0435
AWS,eu-north-1,60.5,1000.0,0.0605
AWS,me-south-1,99.5,1000.0,0.0995
AWS,ca-central-1,111.5,1000.0,0.1115
AWS,ap-south-1,113.67,1000.0,0.11367000000000001
AWS,us-east-2,113.67,1000.0,0.11367000000000001
AWS,us-east-1,118.0,6110.697301162967,0.019310398500273062
AWS,me-central-1,123.5,1000.0,0.1235
AWS,ap-south-2,129.33,1000.0,0.12933
AWS,af-south-1,130.0,1000.0,0.13
AWS,us-west-1,155.67,1000.0,0.15566999999999998
AWS,ca-west-1,163.0,1000.0,0.163
AWS,us-west-2,164.33,1000.0,0.16433
AWS,ap-east-1,205.0,1000.0,0.205
AWS,sa-east-1,225.0,1000.0,0.225
AWS,ap-northeast-1,227.5,1000.0,0.2275
AWS,ap-northeast-2,229.33,1000.0,0.22933
AWS,ap-northeast-3,235.0,1000.0,0.235
AWS,ap-southeast-5,266.0,1000.0,0.266
AWS,ap-southeast-1,270.33,11377.091838078877,0.023760905145830975
AWS,ap-east-2,279.0,1000.0,0.279
AWS,ap-southeast-7,297.5,1000.0,0.2975
AWS,ap-southeast-3,333.67,1000.0,0.33367
AWS,ap-southeast-2,343.0,1000.0,0.343
AWS,ap-southeast-4,357.0,1000.0,0.357
AWS,eu-south-2,14.0,14.256019891511317,0.982041278459231
AWS,eu-south-1,30.0,1000.0,0.03
AWS,eu-central-2,32.5,1000.0,0.0325
AWS,eu-west-3,39.5,1039.7465062975143,0.03799002907031401
AWS,eu-central-1,40.0,1000.0,0.04
AWS,eu-west-2,40.0,1000.0,0.04
AWS,eu-west-1,42.0,1436.8294550025428,0.029231026586885825
AWS,eu-north-1,58.0,1000.0,0.058
AWS,me-south-1,100.5,1000.0,0.1005
AWS,us-east-2,108.0,1000.0,0.108
AWS,ap-south-1,112.33,1000.0,0.11233
AWS,us-east-1,115.0,6110.697301162967,0.018819456165520356
AWS,ca-central-1,115.0,1000.0,0.115
AWS,me-central-1,121.0,1000.0,0.121
AWS,ap-south-2,126.0,1000.0,0.126
AWS,af-south-1,130.5,1000.0,0.1305
AWS,ca-west-1,154.5,1000.0,0.1545
AWS,us-west-1,155.33,1000.0,0.15533000000000002
AWS,us-west-2,164.67,1000.0,0.16466999999999998
AWS,ap-east-1,192.33,1000.0,0.19233
AWS,sa-east-1,218.5,1000.0,0.2185
AWS,ap-northeast-2,229.33,1000.0,0.22933
AWS,ap-northeast-3,229.67,1000.0,0.22966999999999999
AWS,ap-northeast-1,233.5,1000.0,0.2335
AWS,ap-east-2,281.33,1000.0,0.28132999999999997
AWS,ap-southeast-1,286.33,11377.091838078877,0.025167239930476763
AWS,ap-southeast-3,287.0,1000.0,0.287
AWS,ap-southeast-5,315.67,1000.0,0.31567
AWS,ap-southeast-2,344.67,1000.0,0.34467000000000003
AWS,ap-southeast-4,357.33,1000.0,0.35733
AWS,ap-southeast-7,347.0,1000.0,0.347
AWS,eu-south-2,14.5,14.256019891511317,1.0171141812613462
AWS,eu-south-1,30.0,1000.0,0.03
AWS,eu-central-2,31.5,1000.0,0.0315
AWS,eu-west-3,38.5,1039.7465062975143,0.03702825618245796
AWS,eu-central-1,39.0,1000.0,0.039
AWS,eu-west-2,40.0,1000.0,0.04
AWS,eu-west-1,41.5,1436.8294550025428,0.028883038175137186
AWS,eu-north-1,57.5,1000.0,0.0575
AWS,me-south-1,98.5,1000.0,0.0985
AWS,us-east-2,110.67,1000.0,0.11067
AWS,us-east-1,115.33,6110.697301162967,0.018873459822343154
AWS,ca-central-1,115.5,1000.0,0.1155
AWS,ap-south-1,158.0,1000.0,0.158
AWS,me-central-1,120.0,1000.0,0.12
AWS,ap-south-2,125.33,1000.0,0.12533
AWS,af-south-1,129.5,1000.0,0.1295
AWS,us-west-1,155.67,1000.0,0.15566999999999998
AWS,ca-west-1,160.0,1000.0,0.16
AWS,us-west-2,164.67,1000.0,0.16466999999999998
AWS,ap-east-1,179.0,1000.0,0.179
AWS,sa-east-1,222.5,1000.0,0.2225
AWS,ap-northeast-3,230.0,1000.0,0.23
AWS,ap-northeast-2,242.5,1000.0,0.2425
AWS,ap-northeast-1,245.0,1000.0,0.245
AWS,ap-southeast-1,268.5,11377.091838078877,0.023600055604837116
AWS,ap-southeast-3,278.5,1000.0,0.2785
AWS,ap-east-2,279.67,1000.0,0.27967000000000003
AWS,ap-southeast-7,295.0,1000.0,0.295
AWS,ap-southeast-5,305.5,1000.0,0.3055
AWS,ap-southeast-4,344.5,1000.0,0.3445
AWS,ap-southeast-2,345.0,1000.0,0.345
AWS,eu-south-2,13.5,14.256019891511317,0.9469683756571156
AWS,eu-south-1,27.5,1000.0,0.0275
AWS,eu-central-2,32.0,1000.0,0.032
AWS,eu-west-3,34.0,1039.7465062975143,0.03270027818710573
AWS,eu-west-2,36.5,1000.0,0.0365
AWS,eu-central-1,39.0,1000.0,0.039
AWS,eu-west-1,44.5,1436.8294550025428,0.03097096864562903
AWS,eu-north-1,54.0,1000.0,0.054
AWS,me-south-1,96.0,1000.0,0.096
AWS,us-east-1,107.0,6110.697301162967,0.01751027660617981
AWS,ca-central-1,112.0,1000.0,0.112
AWS,ap-south-1,113.0,1000.0,0.113
AWS,us-east-2,116.67,1000.0,0.11667
AWS,me-central-1,123.0,1000.0,0.123
AWS,ap-south-2,130.33,1000.0,0.13033
AWS,af-south-1,131.5,1000.0,0.1315
AWS,us-west-1,155.67,1000.0,0.15566999999999998
AWS,ca-west-1,160.5,1000.0,0.1605
AWS,us-west-2,164.33,1000.0,0.16433
AWS,ap-east-1,191.33,1000.0,0.19133
AWS,sa-east-1,219.5,1000.0,0.2195
AWS,ap-northeast-1,228.5,1000.0,0.2285
AWS,ap-northeast-2,229.33,1000.0,0.22933
AWS,ap-northeast-3,232.67,1000.0,0.23267
AWS,ap-southeast-1,299.67,11377.091838078877,0.02633977155717519
AWS,ap-southeast-5,268.5,1000.0,0.2685
AWS,ap-east-2,280.33,1000.0,0.28032999999999997
AWS,ap-southeast-3,282.5,1000.0,0.2825
AWS,ap-southeast-7,307.0,1000.0,0.307
AWS,ap-southeast-2,331.67,1000.0,0.33167
AWS,ap-southeast-4,359.0,1000.0,0.359
AWS,eu-south-2,13.0,14.256019891511317,0.9118954728550002
AWS,eu-south-1,29.0,1000.0,0.029
AWS,eu-west-2,33.0,1000.0,0.033
AWS,eu-central-2,35.5,1000.0,0.0355
AWS,eu-central-1,39.0,1000.0,0.039
AWS,eu-west-1,41.0,1436.8294550025428,0.028535049763388543
AWS,eu-west-3,41.0,1039.7465062975143,0.03943268840209809
AWS,eu-north-1,56.0,1000.0,0.056
AWS,me-south-1,97.0,1000.0,0.097
AWS,us-east-1,98.67,6110.697301162967,0.016147093390016465
AWS,ca-central-1,109.5,1000.0,0.1095
AWS,ap-south-1,114.0,1000.0,0.114
AWS,us-east-2,114.67,1000.0,0.11467000000000001
AWS,me-central-1,121.5,1000.0,0.1215
AWS,ap-south-2,126.5,1000.0,0.1265
AWS,af-south-1,130.5,1000.0,0.1305
AWS,us-west-1,155.0,1000.0,0.155
AWS,us-west-2,163.67,1000.0,0.16366999999999998
AWS,ca-west-1,165.0,1000.0,0.165
AWS,ap-east-1,177.33,1000.0,0.17733000000000002
AWS,sa-east-1,224.0,1000.0,0.224
AWS,ap-northeast-1,225.5,1000.0,0.2255
AWS,ap-northeast-2,227.5,1000.0,0.2275
AWS,ap-northeast-3,230.5,1000.0,0.2305
AWS,ap-east-2,276.0,1000.0,0.276
AWS,ap-southeast-5,278.0,1000.0,0.278
AWS,ap-southeast-1,278.5,11377.091838078877,0.024479014845240732
AWS,ap-southeast-7,292.5,1000.0,0.2925
AWS,ap-southeast-3,293.0,1000.0,0.293
AWS,ap-southeast-2,347.0,1000.0,0.347
AWS,ap-southeast-4,356.5,1000.0,0.3565
AWS,eu-south-2,14.5,14.256019891511317,1.0171141812613462
AWS,eu-south-1,30.0,1000.0,0.03
AWS,eu-central-2,32.5,1000.0,0.0325
AWS,eu-west-2,35.0,1000.0,0.035
AWS,eu-west-3,35.0,1039.7465062975143,0.033662051074961785
AWS,eu-central-1,39.5,1000.0,0.0395
AWS,eu-west-1,43.5,1436.8294550025428,0.03027499182213175
AWS,eu-north-1,58.0,1000.0,0.058
AWS,me-south-1,97.0,1000.0,0.097
AWS,us-east-1,99.67,6110.697301162967,0.016310740834934036
AWS,us-east-2,112.0,1000.0,0.112
AWS,ca-central-1,112.5,1000.0,0.1125
AWS,ap-south-1,118.33,1000.0,0.11833
AWS,me-central-1,123.0,1000.0,0.123
AWS,ap-south-2,126.67,1000.0,0.12667
AWS,af-south-1,131.5,1000.0,0.1315
AWS,us-west-1,155.67,1000.0,0.15566999999999998
AWS,ca-west-1,161.0,1000.0,0.161
AWS,ap-east-1,179.0,1000.0,0.179
AWS,sa-east-1,214.5,1000.0,0.2145
AWS,ap-northeast-2,216.33,1000.0,0.21633000000000002
AWS,us-west-2,224.0,1000.0,0.224
AWS,ap-northeast-1,229.0,1000.0,0.229
AWS,ap-northeast-3,233.67,1000.0,0.23367
AWS,ap-southeast-1,267.0,11377.091838078877,0.023468211718776572
AWS,ap-east-2,280.67,1000.0,0.28067000000000003
AWS,ap-southeast-3,281.33,1000.0,0.28132999999999997
AWS,ap-southeast-5,286.67,1000.0,0.28667000000000004
AWS,ap-southeast-7,292.67,1000.0,0.29267000000000004
AWS,ap-southeast-2,344.33,1000.0,0.34432999999999997
AWS,ap-southeast-4,418.0,1000.0,0.418
AWS,eu-south-2,14.0,14.256019891511317,0.982041278459231
AWS,eu-south-1,30.33,1000.0,0.03033
AWS,eu-central-2,32.0,1000.0,0.032
