timestamp,provider,region,datacenter,latency_ms
2025-12-10 19:19:43,cloudping.net AWS,us-east-1,N. Virginia,104.68
2025-12-10 19:19:43,cloudping.net AWS,us-east-2,Ohio,122.60
2025-12-10 19:19:43,cloudping.net AWS,ca-central-1,Canada Central,126.36
2025-12-10 19:19:43,cloudping.net AWS,mx-central-1,Mexico Central,158.52
2025-12-10 19:19:43,cloudping.net AWS,us-west-1,N. California,159.66
2025-12-10 19:19:43,cloudping.net AWS,ca-west-1,Canada West,162.72
2025-12-10 19:19:43,cloudping.net AWS,us-west-2,Oregon,169.98
2025-12-10 19:19:43,cloudping.net AWS,sa-east-1,São Paulo,223.58
2025-12-10 19:19:43,cloudping.net AWS,eu-south-2,Spain,29.04
2025-12-10 19:19:43,cloudping.net AWS,eu-central-2,Zurich,33.88
2025-12-10 19:19:43,cloudping.net AWS,eu-central-1,Frankfurt,40.06
2025-12-10 19:19:43,cloudping.net AWS,eu-south-1,Milan,40.18
2025-12-10 19:19:43,cloudping.net AWS,eu-west-2,London,49.16
2025-12-10 19:19:43,cloudping.net AWS,eu-west-3,Paris,51.82
2025-12-10 19:19:43,cloudping.net AWS,eu-west-1,Ireland,55.80
2025-12-10 19:19:43,cloudping.net AWS,eu-north-1,Stockholm,56.64
2025-12-10 19:19:43,cloudping.net AWS,ap-south-1,Mumbai,116.60
2025-12-10 19:19:43,cloudping.net AWS,ap-south-2,Hyderabad,133.72
2025-12-10 19:19:43,cloudping.net AWS,ap-east-1,Hong Kong,180.24
2025-12-10 19:19:43,cloudping.net AWS,ap-northeast-1,Tokyo,226.96
2025-12-10 19:19:43,cloudping.net AWS,ap-northeast-2,Seoul,228.48
2025-12-10 19:19:43,cloudping.net AWS,ap-northeast-3,Osaka,234.36
2025-12-10 19:19:43,cloudping.net AWS,ap-southeast-5,Malaysia,266.86
2025-12-10 19:19:43,cloudping.net AWS,ap-southeast-3,Jakarta,274.96
2025-12-10 19:19:43,cloudping.net AWS,ap-southeast-1,Singapore,277.22
2025-12-10 19:19:43,cloudping.net AWS,ap-east-2,Taipei,278.20
2025-12-10 19:19:43,cloudping.net AWS,ap-southeast-7,Thailand,290.38
2025-12-10 19:19:43,cloudping.net AWS,ap-southeast-2,Sydney,333.22
2025-12-10 19:19:43,cloudping.net AWS,ap-southeast-4,Melbourne,355.26
2025-12-10 19:19:43,cloudping.net AWS,ap-southeast-6,New Zealand,360.52
2025-12-10 19:19:43,cloudping.net AWS,af-south-1,Cape Town,133.30
2025-12-10 19:19:43,cloudping.net AWS,il-central-1,Tel Aviv,67.40
