timestamp,provider,region,datacenter,latency_ms
2025-12-10 19:25:08,cloudping.net Azure,East US,East US,281.68
2025-12-10 19:25:08,cloudping.net Azure,Canada Central,Canada Central,99.46
2025-12-10 19:25:08,cloudping.net Azure,North Central US,North Central US,99.72
2025-12-10 19:25:08,cloudping.net Azure,Central US,Central US,106.22
2025-12-10 19:25:08,cloudping.net Azure,Canada East,Canada East,106.84
2025-12-10 19:25:08,cloudping.net Azure,South Central US,South Central US,107.16
2025-12-10 19:25:08,cloudping.net Azure,West Central US,West Central US,126.00
2025-12-10 19:25:08,cloudping.net Azure,Mexico Central,Mexico Central,126.40
2025-12-10 19:25:08,cloudping.net Azure,West US,West US,3129.44
2025-12-10 19:25:08,cloudping.net Azure,Brazil South,Brazil South,190.16
2025-12-10 19:25:08,cloudping.net Azure,Chile Central,Chile Central,193.32
2025-12-10 19:25:08,cloudping.net Azure,Spain Central,Spain Central,12.04
2025-12-10 19:25:08,cloudping.net Azure,France Central,France Central,28.16
2025-12-10 19:25:08,cloudping.net Azure,UK West,UK West,32.26
2025-12-10 19:25:08,cloudping.net Azure,Germany West Central,Germany West Central,32.30
2025-12-10 19:25:08,cloudping.net Azure,UK South,UK South,33.60
2025-12-10 19:25:08,cloudping.net Azure,Italy North,Italy North,34.74
2025-12-10 19:25:08,cloudping.net Azure,Switzerland North,Switzerland North,37.16
2025-12-10 19:25:08,cloudping.net Azure,Austria East,Austria East,46.96
2025-12-10 19:25:08,cloudping.net Azure,Poland Central,Poland Central,50.10
2025-12-10 19:25:08,cloudping.net Azure,Norway East,Norway East,51.72
2025-12-10 19:25:08,cloudping.net Azure,Sweden Central,Sweden Central,53.98
2025-12-10 19:25:08,cloudping.net Azure,West India,West India,127.06
2025-12-10 19:25:08,cloudping.net Azure,South India,South India,144.42
2025-12-10 19:25:08,cloudping.net Azure,Malaysia West,Malaysia West,167.40
2025-12-10 19:25:08,cloudping.net Azure,Indonesia Central,Indonesia Central,175.86
2025-12-10 19:25:08,cloudping.net Azure,Central India,Central India,177.50
2025-12-10 19:25:08,cloudping.net Azure,Korea South,Korea South,217.52
2025-12-10 19:25:08,cloudping.net Azure,Korea Central,Korea Central,225.10
2025-12-10 19:25:08,cloudping.net Azure,Japan West,Japan West,228.14
2025-12-10 19:25:08,cloudping.net Azure,Japan East,Japan East,237.30
2025-12-10 19:25:08,cloudping.net Azure,New Zealand North,New Zealand North,258.30
2025-12-10 19:25:08,cloudping.net Azure,Israel Central,Israel Central,61.26
2025-12-10 19:25:08,cloudping.net Azure,UAE North,UAE North,104.44
2025-12-10 19:25:08,cloudping.net Azure,Qatar Central,Qatar Central,110.08
2025-12-10 19:51:08,cloudping.net Azure,East US,East US,283.98
2025-12-10 19:51:08,cloudping.net Azure,Canada Central,Canada Central,98.14
2025-12-10 19:51:08,cloudping.net Azure,North Central US,North Central US,106.16
2025-12-10 19:51:08,cloudping.net Azure,Canada East,Canada East,106.84
2025-12-10 19:51:08,cloudping.net Azure,South Central US,South Central US,109.62
2025-12-10 19:51:08,cloudping.net Azure,Central US,Central US,110.06
2025-12-10 19:51:08,cloudping.net Azure,Mexico Central,Mexico Central,125.34
2025-12-10 19:51:08,cloudping.net Azure,West Central US,West Central US,126.16
2025-12-10 19:51:08,cloudping.net Azure,West US,West US,3132.84
2025-12-10 19:51:08,cloudping.net Azure,Chile Central,Chile Central,190.32
2025-12-10 19:51:08,cloudping.net Azure,Brazil South,Brazil South,191.00
2025-12-10 19:51:08,cloudping.net Azure,Spain Central,Spain Central,7.98
2025-12-10 19:51:08,cloudping.net Azure,France Central,France Central,28.66
2025-12-10 19:51:08,cloudping.net Azure,Italy North,Italy North,31.34
2025-12-10 19:51:08,cloudping.net Azure,Germany West Central,Germany West Central,32.32
2025-12-10 19:51:08,cloudping.net Azure,UK West,UK West,33.18
2025-12-10 19:51:08,cloudping.net Azure,UK South,UK South,34.58
2025-12-10 19:51:08,cloudping.net Azure,Switzerland North,Switzerland North,38.20
2025-12-10 19:51:08,cloudping.net Azure,Austria East,Austria East,45.56
2025-12-10 19:51:08,cloudping.net Azure,Poland Central,Poland Central,51.28
2025-12-10 19:51:08,cloudping.net Azure,Norway East,Norway East,53.72
2025-12-10 19:51:08,cloudping.net Azure,Sweden Central,Sweden Central,55.18
2025-12-10 19:51:08,cloudping.net Azure,West India,West India,128.22
2025-12-10 19:51:08,cloudping.net Azure,Central India,Central India,140.20
2025-12-10 19:51:08,cloudping.net Azure,South India,South India,145.90
2025-12-10 19:51:08,cloudping.net Azure,Malaysia West,Malaysia West,169.40
2025-12-10 19:51:08,cloudping.net Azure,Indonesia Central,Indonesia Central,177.04
2025-12-10 19:51:08,cloudping.net Azure,Korea South,Korea South,216.54
2025-12-10 19:51:08,cloudping.net Azure,Korea Central,Korea Central,221.94
2025-12-10 19:51:08,cloudping.net Azure,Japan West,Japan West,226.92
2025-12-10 19:51:08,cloudping.net Azure,Japan East,Japan East,237.60
2025-12-10 19:51:08,cloudping.net Azure,New Zealand North,New Zealand North,255.28
2025-12-10 19:51:08,cloudping.net Azure,Israel Central,Israel Central,62.40
2025-12-10 19:51:08,cloudping.net Azure,UAE North,UAE North,103.96
2025-12-10 19:51:08,cloudping.net Azure,Qatar Central,Qatar Central,110.84
2025-12-10 20:17:08,cloudping.net Azure,East US,East US,282.28
2025-12-10 20:17:08,cloudping.net Azure,Canada Central,Canada Central,96.36
2025-12-10 20:17:08,cloudping.net Azure,North Central US,North Central US,104.06
2025-12-10 20:17:08,cloudping.net Azure,Canada East,Canada East,107.32
2025-12-10 20:17:08,cloudping.net Azure,South Central US,South Central US,110.90
2025-12-10 20:17:08,cloudping.net Azure,Central US,Central US,113.08
2025-12-10 20:17:08,cloudping.net Azure,Mexico Central,Mexico Central,124.96
2025-12-10 20:17:08,cloudping.net Azure,West Central US,West Central US,126.36
2025-12-10 20:17:08,cloudping.net Azure,West US,West US,3134.64
2025-12-10 20:17:08,cloudping.net Azure,Chile Central,Chile Central,191.08
2025-12-10 20:17:08,cloudping.net Azure,Brazil South,Brazil South,191.36
2025-12-10 20:17:08,cloudping.net Azure,Spain Central,Spain Central,10.32
2025-12-10 20:17:08,cloudping.net Azure,France Central,France Central,25.86
2025-12-10 20:17:08,cloudping.net Azure,UK South,UK South,29.38
2025-12-10 20:17:08,cloudping.net Azure,Germany West Central,Germany West Central,31.92
2025-12-10 20:17:08,cloudping.net Azure,UK West,UK West,31.98
2025-12-10 20:17:08,cloudping.net Azure,Italy North,Italy North,32.64
2025-12-10 20:17:08,cloudping.net Azure,Switzerland North,Switzerland North,36.92
2025-12-10 20:17:08,cloudping.net Azure,Austria East,Austria East,44.70
2025-12-10 20:17:08,cloudping.net Azure,Poland Central,Poland Central,49.74
2025-12-10 20:17:08,cloudping.net Azure,Norway East,Norway East,50.68
2025-12-10 20:17:08,cloudping.net Azure,Sweden Central,Sweden Central,53.90
2025-12-10 20:17:08,cloudping.net Azure,West India,West India,126.30
2025-12-10 20:17:08,cloudping.net Azure,South India,South India,143.32
2025-12-10 20:17:08,cloudping.net Azure,Malaysia West,Malaysia West,167.08
2025-12-10 20:17:08,cloudping.net Azure,Indonesia Central,Indonesia Central,174.24
2025-12-10 20:17:08,cloudping.net Azure,Korea South,Korea South,219.02
2025-12-10 20:17:08,cloudping.net Azure,Korea Central,Korea Central,223.32
2025-12-10 20:17:08,cloudping.net Azure,Japan West,Japan West,227.08
2025-12-10 20:17:08,cloudping.net Azure,Japan East,Japan East,231.22
