2025-12-03 20:43:48,419 | INFO | SCRAPER CLOUDPING.INFO INICIADO
2025-12-03 20:43:48,420 | INFO | Cada 10 min → cloudpinginfo_latency_longterm.csv
2025-12-03 20:43:48,420 | INFO | 
ITERACIÓN 1 - 20:43
2025-12-03 20:43:49,321 | INFO | CARGANDO CLOUDPING.INFO...
2025-12-03 20:43:51,889 | INFO | HTTP PING LANZADO
2025-12-03 20:43:51,890 | INFO | ESPERANDO DATOS ESTABLES (máx 500s)...
2025-12-03 20:43:51,945 | INFO | 0s → 2 latencias | 5 pendientes
2025-12-03 20:43:54,988 | INFO | 3s → 28 latencias | 5 pendientes
2025-12-03 20:43:58,047 | INFO | 6s → 48 latencias | 5 pendientes
2025-12-03 20:44:01,132 | INFO | 9s → 65 latencias | 5 pendientes
2025-12-03 20:44:04,134 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513770e00>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:04,135 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771be0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:04,136 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771bb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:06,144 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513772a80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
