2025-12-03 20:43:55,099 | INFO | SCRAPER CLOUDPING.NET GCP INICIADO
2025-12-03 20:43:55,099 | INFO | Cada 10 min → gcp_cloudpingnet_latency_longterm.csv
2025-12-03 20:43:55,099 | INFO | 
ITERACIÓN 1 - 20:43
2025-12-03 20:43:59,751 | INFO | CARGANDO CLOUDPING.NET...
2025-12-03 20:44:18,191 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b520ad0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:18,196 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b7cf0e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:18,197 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b5211c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:33,200 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b521700>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:33,201 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b521910>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:33,202 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b521af0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:48,204 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b5229f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:48,205 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b522c30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
2025-12-03 20:44:48,207 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7da50b522ea0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/ab7623a1af4965e265e3cf3f063073ce/url
