2025-12-03 20:44:02,696 | INFO | AZURE SCRAPER UNIFICADO INICIADO
2025-12-03 20:44:02,703 | INFO | Cada 10 min → azure_cloudpingtest_latency_longterm.csv
2025-12-03 20:44:02,703 | INFO | 
ITERACIÓN 1 - 20:44
2025-12-03 20:44:06,736 | INFO | CARGANDO AZURE...
2025-12-03 20:44:16,826 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617b90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:16,828 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c74ba10>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:16,829 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617890>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:26,832 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6181d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:26,836 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618440>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:26,839 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618620>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:36,842 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619430>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:36,844 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6196a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:36,845 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619940>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:46,847 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619ee0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:46,848 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a150>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:46,849 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a390>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/url
2025-12-03 20:44:56,853 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617e30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/element
2025-12-03 20:44:56,855 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617ad0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/element
2025-12-03 20:44:56,857 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619640>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/element
2025-12-03 20:44:56,859 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6197f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/element
2025-12-03 20:44:56,861 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6194f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/element
2025-12-03 20:44:56,862 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618590>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/element
2025-12-03 20:44:56,863 | INFO | AUTO-START
2025-12-03 20:44:56,863 | INFO | ESPERANDO DATOS AZURE...
2025-12-03 20:44:56,864 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618380>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
