2025-12-03 20:44:04,231 | INFO | SCRAPER CLOUDPINGTEST.COM INICIADO
2025-12-03 20:44:04,231 | INFO | Cada 10 min → aws_cloudpingtest_latency_longterm.csv
2025-12-03 20:44:04,231 | INFO | 
ITERACIÓN 1 - 20:44
2025-12-03 20:44:06,723 | INFO | CARGANDO CLOUDPINGTEST.COM/AWS...
2025-12-03 20:44:21,823 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a644b4181a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/a1775ac87af4aabdbc487a74d8cd3e87/url
2025-12-03 20:44:21,824 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a644b415b50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/a1775ac87af4aabdbc487a74d8cd3e87/url
2025-12-03 20:44:21,825 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a644b4182f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/a1775ac87af4aabdbc487a74d8cd3e87/url
2025-12-03 20:44:36,828 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a644b418860>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/a1775ac87af4aabdbc487a74d8cd3e87/url
2025-12-03 20:44:36,829 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a644b418a70>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/a1775ac87af4aabdbc487a74d8cd3e87/url
2025-12-03 20:44:36,830 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a644b418c50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/a1775ac87af4aabdbc487a74d8cd3e87/url
