timestamp,provider,region,datacenter,latency_ms
2025-12-10 19:09:09,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",146
2025-12-10 19:09:09,cloudping Huawei,ap-southeast-3,Singapore,188.5
2025-12-10 19:09:09,cloudping Huawei,ap-southeast-1,"Hong Kong, China",223.5
2025-12-10 19:09:09,cloudping Huawei,af-south-1,"Johannesburg, South Africa",237
2025-12-10 19:09:09,cloudping Huawei,la-south-2,"Santiago, Chile",238
2025-12-10 19:09:09,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",239.5
2025-12-10 19:09:09,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",241
2025-12-10 19:09:09,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",242.5
2025-12-10 19:09:09,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",146
2025-12-10 19:09:09,cloudping Huawei,ap-southeast-3,Singapore,188.5
2025-12-10 19:09:09,cloudping Huawei,ap-southeast-1,"Hong Kong, China",223.5
2025-12-10 19:09:09,cloudping Huawei,af-south-1,"Johannesburg, South Africa",237
2025-12-10 19:09:09,cloudping Huawei,la-south-2,"Santiago, Chile",238
2025-12-10 19:09:09,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",239.5
2025-12-10 19:09:09,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",241
2025-12-10 19:09:09,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",242.5
2025-12-10 19:09:09,cloudping Huawei,cn-east-2,Shanghai 2,217.5
2025-12-10 19:09:09,cloudping Huawei,cn-east-3,Shanghai 1,220.5
2025-12-10 19:09:09,cloudping Huawei,cn-north-1,Beijing 1,235
2025-12-10 19:09:09,cloudping Huawei,cn-south-1,Guangzhou,236
2025-12-10 19:09:09,cloudping Huawei,cn-southwest-2,Guiyang 1,247.5
2025-12-10 19:09:09,cloudping Huawei,cn-north-9,Wulanchabu,278
2025-12-10 19:09:09,cloudping Huawei,cn-north-4,Beijing 4,283
2025-12-10 19:35:09,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",154.5
2025-12-10 19:35:09,cloudping Huawei,ap-southeast-3,Singapore,190.5
2025-12-10 19:35:09,cloudping Huawei,ap-southeast-1,"Hong Kong, China",212
2025-12-10 19:35:09,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",222
2025-12-10 19:35:09,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",242.5
2025-12-10 19:35:09,cloudping Huawei,la-south-2,"Santiago, Chile",243
2025-12-10 19:35:09,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",245
2025-12-10 19:35:09,cloudping Huawei,af-south-1,"Johannesburg, South Africa",293
2025-12-10 19:35:09,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",154.5
2025-12-10 19:35:09,cloudping Huawei,ap-southeast-3,Singapore,190.5
2025-12-10 19:35:09,cloudping Huawei,ap-southeast-1,"Hong Kong, China",212
2025-12-10 19:35:09,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",222
2025-12-10 19:35:09,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",242.5
2025-12-10 19:35:09,cloudping Huawei,la-south-2,"Santiago, Chile",243
2025-12-10 19:35:09,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",245
2025-12-10 19:35:09,cloudping Huawei,af-south-1,"Johannesburg, South Africa",293
2025-12-10 19:35:09,cloudping Huawei,cn-east-3,Shanghai 1,228.5
2025-12-10 19:35:09,cloudping Huawei,cn-north-1,Beijing 1,230.5
2025-12-10 19:35:09,cloudping Huawei,cn-north-9,Wulanchabu,234
2025-12-10 19:35:09,cloudping Huawei,cn-north-4,Beijing 4,260
2025-12-10 19:35:09,cloudping Huawei,cn-southwest-2,Guiyang 1,269.5
2025-12-10 19:35:09,cloudping Huawei,cn-east-2,Shanghai 2,275
2025-12-10 19:35:09,cloudping Huawei,cn-south-1,Guangzhou,292
2025-12-10 20:01:10,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-10 20:01:10,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",152.5
2025-12-10 20:01:10,cloudping Huawei,ap-southeast-3,Singapore,186
2025-12-10 20:01:10,cloudping Huawei,ap-southeast-1,"Hong Kong, China",217.5
2025-12-10 20:01:10,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",228
2025-12-10 20:01:10,cloudping Huawei,af-south-1,"Johannesburg, South Africa",230.5
2025-12-10 20:01:10,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",238.5
2025-12-10 20:01:10,cloudping Huawei,la-south-2,"Santiago, Chile",355.5
2025-12-10 20:01:10,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-10 20:01:10,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",152.5
2025-12-10 20:01:10,cloudping Huawei,ap-southeast-3,Singapore,186
2025-12-10 20:01:10,cloudping Huawei,ap-southeast-1,"Hong Kong, China",217.5
2025-12-10 20:01:10,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",228
2025-12-10 20:01:10,cloudping Huawei,af-south-1,"Johannesburg, South Africa",230.5
2025-12-10 20:01:10,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",238.5
2025-12-10 20:01:10,cloudping Huawei,la-south-2,"Santiago, Chile",355.5
2025-12-10 20:01:10,cloudping Huawei,cn-north-1,Beijing 1,203.5
2025-12-10 20:01:10,cloudping Huawei,cn-east-2,Shanghai 2,212
2025-12-10 20:01:10,cloudping Huawei,cn-north-4,Beijing 4,225.5
2025-12-10 20:01:10,cloudping Huawei,cn-north-9,Wulanchabu,229.5
2025-12-10 20:01:10,cloudping Huawei,cn-south-1,Guangzhou,246.5
2025-12-10 20:01:10,cloudping Huawei,cn-southwest-2,Guiyang 1,254
2025-12-10 20:01:10,cloudping Huawei,cn-east-3,Shanghai 1,323
2025-12-10 20:27:12,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",145.5
2025-12-10 20:27:12,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",155.5
2025-12-10 20:27:12,cloudping Huawei,ap-southeast-3,Singapore,188
2025-12-10 20:27:12,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",218
2025-12-10 20:27:12,cloudping Huawei,ap-southeast-1,"Hong Kong, China",218.5
2025-12-10 20:27:12,cloudping Huawei,af-south-1,"Johannesburg, South Africa",230
2025-12-10 20:27:12,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",247
2025-12-10 20:27:12,cloudping Huawei,la-south-2,"Santiago, Chile",252.5
2025-12-10 20:27:12,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",145.5
2025-12-10 20:27:12,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",155.5
2025-12-10 20:27:12,cloudping Huawei,ap-southeast-3,Singapore,188
2025-12-10 20:27:12,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",218
2025-12-10 20:27:12,cloudping Huawei,ap-southeast-1,"Hong Kong, China",218.5
2025-12-10 20:27:12,cloudping Huawei,af-south-1,"Johannesburg, South Africa",230
2025-12-10 20:27:12,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",247
2025-12-10 20:27:12,cloudping Huawei,la-south-2,"Santiago, Chile",252.5
2025-12-10 20:27:12,cloudping Huawei,cn-east-2,Shanghai 2,227.5
2025-12-10 20:27:12,cloudping Huawei,cn-north-1,Beijing 1,229
2025-12-10 20:27:12,cloudping Huawei,cn-south-1,Guangzhou,236.5
2025-12-10 20:27:12,cloudping Huawei,cn-north-9,Wulanchabu,240.5
2025-12-10 20:27:12,cloudping Huawei,cn-east-3,Shanghai 1,255.5
2025-12-10 20:27:12,cloudping Huawei,cn-north-4,Beijing 4,265
2025-12-10 20:27:12,cloudping Huawei,cn-southwest-2,Guiyang 1,277
2025-12-10 20:53:11,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",146
2025-12-10 20:53:11,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",150
