timestamp,provider,region,datacenter,latency_ms
2025-12-03 21:19:54,cloudping AWS,eu-south-2,Spain (Milán),17.67
2025-12-03 21:19:54,cloudping AWS,eu-south-1,Milan,29
2025-12-03 21:19:54,cloudping AWS,eu-west-3,Paris,33.33
2025-12-03 21:19:54,cloudping AWS,eu-central-2,Zürich,34.67
2025-12-03 21:19:54,cloudping AWS,eu-west-2,London,39
2025-12-03 21:19:54,cloudping AWS,eu-west-1,Ireland,43
2025-12-03 21:19:54,cloudping AWS,eu-central-1,Frankfurt,43
2025-12-03 21:19:54,cloudping AWS,eu-north-1,Stockholm,58
2025-12-03 21:19:54,cloudping AWS,us-east-1,N. Virginia,94.67
2025-12-03 21:19:54,cloudping AWS,me-south-1,Bahrain,99.67
2025-12-03 21:19:54,cloudping AWS,us-east-2,Ohio,106.67
2025-12-03 21:19:54,cloudping AWS,ap-south-1,Mumbai,113
2025-12-03 21:19:54,cloudping AWS,ca-central-1,Canada Central,115.33
2025-12-03 21:19:54,cloudping AWS,ap-south-2,Hyderabad,124.33
2025-12-03 21:19:54,cloudping AWS,me-central-1,UAE,127
2025-12-03 21:19:54,cloudping AWS,af-south-1,Cape Town,133.33
2025-12-03 21:19:54,cloudping AWS,us-west-1,N. California,159
2025-12-03 21:19:54,cloudping AWS,ap-southeast-1,Singapore,161.67
2025-12-03 21:19:54,cloudping AWS,ca-west-1,Calgary,162.67
2025-12-03 21:19:54,cloudping AWS,ap-southeast-5,Malaysia,168
2025-12-03 21:19:54,cloudping AWS,us-west-2,Oregon,171.67
2025-12-03 21:19:54,cloudping AWS,ap-southeast-3,Jakarta,178
2025-12-03 21:19:54,cloudping AWS,ap-southeast-7,Thailand,186.33
2025-12-03 21:19:54,cloudping AWS,ap-east-1,Hong Kong,202.33
2025-12-03 21:19:54,cloudping AWS,ap-northeast-2,Seoul,224.33
2025-12-03 21:19:54,cloudping AWS,sa-east-1,São Paulo,224
2025-12-03 21:19:54,cloudping AWS,ap-northeast-1,Tokyo,230.33
2025-12-03 21:19:54,cloudping AWS,ap-northeast-3,Osaka,237
2025-12-03 21:19:54,cloudping AWS,ap-east-2,Taipei,240.67
2025-12-03 21:19:54,cloudping AWS,ap-southeast-2,Sydney,286
2025-12-03 21:19:54,cloudping AWS,ap-southeast-4,Melbourne,286
2025-12-03 21:46:52,cloudping AWS,eu-south-2,Spain (Milán),16
2025-12-03 21:46:52,cloudping AWS,eu-south-1,Milan,29.5
2025-12-03 21:46:52,cloudping AWS,eu-west-2,London,34.5
2025-12-03 21:46:52,cloudping AWS,eu-central-2,Zürich,36
2025-12-03 21:46:52,cloudping AWS,eu-west-3,Paris,36.5
2025-12-03 21:46:52,cloudping AWS,eu-west-1,Ireland,41.5
2025-12-03 21:46:52,cloudping AWS,eu-central-1,Frankfurt,42.5
2025-12-03 21:46:52,cloudping AWS,eu-north-1,Stockholm,61
2025-12-03 21:46:52,cloudping AWS,us-east-1,N. Virginia,95.5
2025-12-03 21:46:52,cloudping AWS,me-south-1,Bahrain,97.5
2025-12-03 21:46:52,cloudping AWS,us-east-2,Ohio,110.5
2025-12-03 21:46:52,cloudping AWS,ca-central-1,Canada Central,114
2025-12-03 21:46:52,cloudping AWS,ap-south-1,Mumbai,115.5
2025-12-03 21:46:52,cloudping AWS,me-central-1,UAE,123.5
2025-12-03 21:46:52,cloudping AWS,af-south-1,Cape Town,130
2025-12-03 21:46:52,cloudping AWS,ap-south-2,Hyderabad,130
2025-12-03 21:46:52,cloudping AWS,us-west-1,N. California,154.5
2025-12-03 21:46:52,cloudping AWS,ca-west-1,Calgary,160.5
2025-12-03 21:46:52,cloudping AWS,ap-southeast-1,Singapore,161
2025-12-03 21:46:52,cloudping AWS,ap-southeast-5,Malaysia,169.5
2025-12-03 21:46:52,cloudping AWS,us-west-2,Oregon,173
2025-12-03 21:46:52,cloudping AWS,ap-southeast-3,Jakarta,175
2025-12-03 21:46:52,cloudping AWS,ap-southeast-7,Thailand,187.5
2025-12-03 21:46:52,cloudping AWS,ap-east-1,Hong Kong,190.5
2025-12-03 21:46:52,cloudping AWS,sa-east-1,São Paulo,223.5
2025-12-03 21:46:52,cloudping AWS,ap-northeast-3,Osaka,235.5
2025-12-03 21:46:52,cloudping AWS,ap-northeast-1,Tokyo,240
2025-12-03 21:46:52,cloudping AWS,ap-east-2,Taipei,240.5
2025-12-03 21:46:52,cloudping AWS,ap-northeast-2,Seoul,241
2025-12-03 21:46:52,cloudping AWS,ap-southeast-2,Sydney,279.5
2025-12-03 21:46:52,cloudping AWS,ap-southeast-4,Melbourne,285
2025-12-03 22:13:56,cloudping AWS,eu-south-2,Spain (Milán),18
2025-12-03 22:13:56,cloudping AWS,eu-south-1,Milan,30
2025-12-03 22:13:56,cloudping AWS,eu-central-2,Zürich,30.5
2025-12-03 22:13:56,cloudping AWS,eu-west-3,Paris,31.5
2025-12-03 22:13:56,cloudping AWS,eu-west-2,London,33
2025-12-03 22:13:56,cloudping AWS,eu-west-1,Ireland,40
2025-12-03 22:13:56,cloudping AWS,eu-north-1,Stockholm,55
2025-12-03 22:13:56,cloudping AWS,eu-central-1,Frankfurt,87.5
2025-12-03 22:13:56,cloudping AWS,me-south-1,Bahrain,92.5
2025-12-03 22:13:56,cloudping AWS,us-east-2,Ohio,109.33
2025-12-03 22:13:56,cloudping AWS,ca-central-1,Canada Central,114
2025-12-03 22:13:56,cloudping AWS,us-east-1,N. Virginia,113.33
2025-12-03 22:13:56,cloudping AWS,ap-south-1,Mumbai,116
2025-12-03 22:13:56,cloudping AWS,me-central-1,UAE,123
2025-12-03 22:13:56,cloudping AWS,ap-south-2,Hyderabad,127.5
2025-12-03 22:13:56,cloudping AWS,af-south-1,Cape Town,129.5
2025-12-03 22:13:56,cloudping AWS,ca-west-1,Calgary,160.5
2025-12-03 22:13:56,cloudping AWS,ap-southeast-1,Singapore,160.5
2025-12-03 22:13:56,cloudping AWS,us-west-1,N. California,160.33
2025-12-03 22:13:56,cloudping AWS,ap-southeast-5,Malaysia,169
2025-12-03 22:13:56,cloudping AWS,us-west-2,Oregon,171.67
2025-12-03 22:13:56,cloudping AWS,ap-southeast-7,Thailand,185.5
2025-12-03 22:13:56,cloudping AWS,ap-east-1,Hong Kong,188.33
2025-12-03 22:13:56,cloudping AWS,ap-southeast-3,Jakarta,194.5
2025-12-03 22:13:56,cloudping AWS,sa-east-1,São Paulo,222
2025-12-03 22:13:56,cloudping AWS,ap-northeast-2,Seoul,226
2025-12-03 22:13:56,cloudping AWS,ap-northeast-1,Tokyo,229.5
2025-12-03 22:13:56,cloudping AWS,ap-east-2,Taipei,235
2025-12-03 22:13:56,cloudping AWS,ap-northeast-3,Osaka,236.5
2025-12-03 22:13:56,cloudping AWS,ap-southeast-2,Sydney,285.5
2025-12-03 22:13:56,cloudping AWS,ap-southeast-4,Melbourne,286.5
2025-12-03 22:41:02,cloudping AWS,eu-south-2,Spain (Milán),16.67
2025-12-03 22:41:02,cloudping AWS,eu-south-1,Milan,29.67
2025-12-03 22:41:02,cloudping AWS,eu-central-2,Zürich,33
2025-12-03 22:41:02,cloudping AWS,eu-west-3,Paris,37
2025-12-03 22:41:02,cloudping AWS,eu-west-2,London,38.33
2025-12-03 22:41:02,cloudping AWS,eu-west-1,Ireland,41
2025-12-03 22:41:02,cloudping AWS,eu-central-1,Frankfurt,42.33
2025-12-03 22:41:02,cloudping AWS,eu-north-1,Stockholm,57.33
2025-12-03 22:41:02,cloudping AWS,me-south-1,Bahrain,88.67
2025-12-03 22:41:02,cloudping AWS,us-east-1,N. Virginia,94.25
2025-12-03 22:41:02,cloudping AWS,us-east-2,Ohio,112
2025-12-03 22:41:02,cloudping AWS,ap-south-1,Mumbai,112.33
2025-12-03 22:41:02,cloudping AWS,ca-central-1,Canada Central,113.67
2025-12-03 22:41:02,cloudping AWS,me-central-1,UAE,122.33
2025-12-03 22:41:02,cloudping AWS,ap-south-2,Hyderabad,128
2025-12-03 22:41:02,cloudping AWS,af-south-1,Cape Town,129.67
2025-12-03 22:41:02,cloudping AWS,us-west-1,N. California,157.25
2025-12-03 22:41:02,cloudping AWS,ca-west-1,Calgary,158.33
2025-12-03 22:41:02,cloudping AWS,ap-southeast-1,Singapore,161
2025-12-03 22:41:02,cloudping AWS,ap-southeast-5,Malaysia,168.33
2025-12-03 22:41:02,cloudping AWS,us-west-2,Oregon,172
2025-12-03 22:41:02,cloudping AWS,ap-southeast-3,Jakarta,177.67
2025-12-03 22:41:02,cloudping AWS,ap-southeast-7,Thailand,187.33
2025-12-03 22:41:02,cloudping AWS,ap-east-1,Hong Kong,190.25
2025-12-03 22:41:02,cloudping AWS,ap-northeast-2,Seoul,225
2025-12-03 22:41:02,cloudping AWS,ap-northeast-1,Tokyo,230.33
2025-12-03 22:41:02,cloudping AWS,ap-east-2,Taipei,231.33
2025-12-03 22:41:02,cloudping AWS,ap-northeast-3,Osaka,236
2025-12-03 22:41:02,cloudping AWS,sa-east-1,São Paulo,241.33
2025-12-03 22:41:02,cloudping AWS,ap-southeast-2,Sydney,274.33
2025-12-03 22:41:02,cloudping AWS,ap-southeast-4,Melbourne,286.67
2025-12-03 23:08:01,cloudping AWS,eu-south-2,Spain (Milán),17
2025-12-03 23:08:01,cloudping AWS,eu-south-1,Milan,30.5
2025-12-03 23:08:01,cloudping AWS,eu-central-2,Zürich,34
2025-12-03 23:08:01,cloudping AWS,eu-west-3,Paris,37
2025-12-03 23:08:01,cloudping AWS,eu-central-1,Frankfurt,39
2025-12-03 23:08:01,cloudping AWS,eu-west-2,London,40
2025-12-03 23:08:01,cloudping AWS,eu-west-1,Ireland,45
2025-12-03 23:08:01,cloudping AWS,eu-north-1,Stockholm,59.5
2025-12-03 23:08:01,cloudping AWS,us-east-1,N. Virginia,92.67
2025-12-03 23:08:01,cloudping AWS,me-south-1,Bahrain,93.5
2025-12-03 23:08:01,cloudping AWS,us-east-2,Ohio,105
2025-12-03 23:08:01,cloudping AWS,ca-central-1,Canada Central,106.5
2025-12-03 23:08:01,cloudping AWS,ap-south-1,Mumbai,114
2025-12-03 23:08:01,cloudping AWS,me-central-1,UAE,123
2025-12-03 23:08:01,cloudping AWS,ap-south-2,Hyderabad,126
2025-12-03 23:08:01,cloudping AWS,af-south-1,Cape Town,132
2025-12-03 23:08:01,cloudping AWS,us-west-1,N. California,156.33
2025-12-03 23:08:01,cloudping AWS,ca-west-1,Calgary,160.5
2025-12-03 23:08:01,cloudping AWS,ap-southeast-1,Singapore,161
2025-12-03 23:08:01,cloudping AWS,ap-southeast-5,Malaysia,165
2025-12-03 23:08:01,cloudping AWS,us-west-2,Oregon,171.67
2025-12-03 23:08:01,cloudping AWS,ap-southeast-3,Jakarta,175.5
2025-12-03 23:08:01,cloudping AWS,ap-southeast-7,Thailand,183.5
2025-12-03 23:08:01,cloudping AWS,ap-east-1,Hong Kong,188
2025-12-03 23:08:01,cloudping AWS,sa-east-1,São Paulo,224
2025-12-03 23:08:01,cloudping AWS,ap-northeast-1,Tokyo,230
