timestamp,provider,region,datacenter,latency_ms
2025-12-03 21:33:18,cloudping.net Azure,East US,East US,281.94
2025-12-03 21:33:18,cloudping.net Azure,Canada Central,Canada Central,96.04
2025-12-03 21:33:18,cloudping.net Azure,North Central US,North Central US,104.22
2025-12-03 21:33:18,cloudping.net Azure,Canada East,Canada East,107.42
2025-12-03 21:33:18,cloudping.net Azure,South Central US,South Central US,109.32
2025-12-03 21:33:18,cloudping.net Azure,Central US,Central US,113.58
2025-12-03 21:33:18,cloudping.net Azure,West Central US,West Central US,123.98
2025-12-03 21:33:18,cloudping.net Azure,Mexico Central,Mexico Central,125.88
2025-12-03 21:33:18,cloudping.net Azure,West US,West US,3133.28
2025-12-03 21:33:18,cloudping.net Azure,Brazil South,Brazil South,190.70
2025-12-03 21:33:18,cloudping.net Azure,Chile Central,Chile Central,191.88
2025-12-03 21:33:18,cloudping.net Azure,Spain Central,Spain Central,12.54
2025-12-03 21:33:18,cloudping.net Azure,France Central,France Central,25.26
2025-12-03 21:33:18,cloudping.net Azure,Germany West Central,Germany West Central,31.42
2025-12-03 21:33:18,cloudping.net Azure,Italy North,Italy North,31.96
2025-12-03 21:33:18,cloudping.net Azure,UK South,UK South,35.96
2025-12-03 21:33:18,cloudping.net Azure,UK West,UK West,39.98
2025-12-03 21:33:18,cloudping.net Azure,Switzerland North,Switzerland North,43.52
2025-12-03 21:33:18,cloudping.net Azure,Austria East,Austria East,49.54
2025-12-03 21:33:18,cloudping.net Azure,Norway East,Norway East,58.02
2025-12-03 21:33:18,cloudping.net Azure,Poland Central,Poland Central,59.98
2025-12-03 21:33:18,cloudping.net Azure,Sweden Central,Sweden Central,65.44
2025-12-03 21:33:18,cloudping.net Azure,West India,West India,132.44
2025-12-03 21:33:18,cloudping.net Azure,South India,South India,144.24
2025-12-03 21:33:18,cloudping.net Azure,Malaysia West,Malaysia West,166.72
2025-12-03 21:33:18,cloudping.net Azure,Indonesia Central,Indonesia Central,175.52
2025-12-03 21:33:18,cloudping.net Azure,Korea South,Korea South,218.46
2025-12-03 21:33:18,cloudping.net Azure,Korea Central,Korea Central,223.60
2025-12-03 21:33:18,cloudping.net Azure,Japan West,Japan West,227.56
2025-12-03 21:33:18,cloudping.net Azure,Central India,Central India,233.10
2025-12-03 21:33:18,cloudping.net Azure,Japan East,Japan East,233.30
2025-12-03 21:33:18,cloudping.net Azure,New Zealand North,New Zealand North,257.58
2025-12-03 21:33:18,cloudping.net Azure,Israel Central,Israel Central,61.28
2025-12-03 21:33:18,cloudping.net Azure,UAE North,UAE North,102.80
2025-12-03 21:33:18,cloudping.net Azure,Qatar Central,Qatar Central,108.96
2025-12-03 22:00:20,cloudping.net Azure,East US,East US,282.00
2025-12-03 22:00:20,cloudping.net Azure,Canada Central,Canada Central,96.20
2025-12-03 22:00:20,cloudping.net Azure,North Central US,North Central US,104.20
2025-12-03 22:00:20,cloudping.net Azure,South Central US,South Central US,107.84
2025-12-03 22:00:20,cloudping.net Azure,Canada East,Canada East,108.80
2025-12-03 22:00:20,cloudping.net Azure,Central US,Central US,114.16
2025-12-03 22:00:20,cloudping.net Azure,West Central US,West Central US,125.56
2025-12-03 22:00:20,cloudping.net Azure,Mexico Central,Mexico Central,125.66
2025-12-03 22:00:20,cloudping.net Azure,West US,West US,3133.52
2025-12-03 22:00:20,cloudping.net Azure,Brazil South,Brazil South,188.30
2025-12-03 22:00:20,cloudping.net Azure,Chile Central,Chile Central,191.50
2025-12-03 22:00:20,cloudping.net Azure,Spain Central,Spain Central,13.60
2025-12-03 22:00:20,cloudping.net Azure,France Central,France Central,27.54
2025-12-03 22:00:20,cloudping.net Azure,Germany West Central,Germany West Central,32.46
2025-12-03 22:00:20,cloudping.net Azure,Italy North,Italy North,34.48
2025-12-03 22:00:20,cloudping.net Azure,UK South,UK South,35.78
2025-12-03 22:00:20,cloudping.net Azure,UK West,UK West,36.76
2025-12-03 22:00:20,cloudping.net Azure,Switzerland North,Switzerland North,40.74
2025-12-03 22:00:20,cloudping.net Azure,Poland Central,Poland Central,50.68
2025-12-03 22:00:20,cloudping.net Azure,Norway East,Norway East,52.50
2025-12-03 22:00:20,cloudping.net Azure,Sweden Central,Sweden Central,58.68
2025-12-03 22:00:20,cloudping.net Azure,Austria East,Austria East,78.80
2025-12-03 22:00:20,cloudping.net Azure,West India,West India,130.56
2025-12-03 22:00:20,cloudping.net Azure,Central India,Central India,141.84
2025-12-03 22:00:20,cloudping.net Azure,South India,South India,143.94
2025-12-03 22:00:20,cloudping.net Azure,Malaysia West,Malaysia West,164.50
2025-12-03 22:00:20,cloudping.net Azure,Indonesia Central,Indonesia Central,173.58
2025-12-03 22:00:20,cloudping.net Azure,Korea South,Korea South,216.50
