timestamp,provider,region,datacenter,latency_ms
2025-12-03 21:16:37,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-03 21:16:37,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",162.5
2025-12-03 21:16:37,cloudping Huawei,ap-southeast-3,Singapore,190.5
2025-12-03 21:16:37,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",227
2025-12-03 21:16:37,cloudping Huawei,ap-southeast-1,"Hong Kong, China",232
2025-12-03 21:16:37,cloudping Huawei,la-south-2,"Santiago, Chile",252.5
2025-12-03 21:16:37,cloudping Huawei,af-south-1,"Johannesburg, South Africa",265
2025-12-03 21:16:37,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",470.5
2025-12-03 21:16:37,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-03 21:16:37,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",162.5
2025-12-03 21:16:37,cloudping Huawei,ap-southeast-3,Singapore,190.5
2025-12-03 21:16:37,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",227
2025-12-03 21:16:37,cloudping Huawei,ap-southeast-1,"Hong Kong, China",232
2025-12-03 21:16:37,cloudping Huawei,la-south-2,"Santiago, Chile",252.5
2025-12-03 21:16:37,cloudping Huawei,af-south-1,"Johannesburg, South Africa",265
2025-12-03 21:16:37,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",470.5
2025-12-03 21:16:37,cloudping Huawei,cn-north-1,Beijing 1,205.5
2025-12-03 21:16:37,cloudping Huawei,cn-east-2,Shanghai 2,218
2025-12-03 21:16:37,cloudping Huawei,cn-north-9,Wulanchabu,235
2025-12-03 21:16:37,cloudping Huawei,cn-south-1,Guangzhou,245.5
2025-12-03 21:16:37,cloudping Huawei,cn-east-3,Shanghai 1,253.5
2025-12-03 21:16:37,cloudping Huawei,cn-north-4,Beijing 4,256
2025-12-03 21:16:37,cloudping Huawei,cn-southwest-2,Guiyang 1,264
2025-12-03 21:43:40,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",145
2025-12-03 21:43:40,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",165.5
2025-12-03 21:43:40,cloudping Huawei,ap-southeast-3,Singapore,189
2025-12-03 21:43:40,cloudping Huawei,ap-southeast-1,"Hong Kong, China",220
2025-12-03 21:43:40,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",231
2025-12-03 21:43:40,cloudping Huawei,la-south-2,"Santiago, Chile",235
2025-12-03 21:43:40,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",246.5
2025-12-03 21:43:40,cloudping Huawei,af-south-1,"Johannesburg, South Africa",268
2025-12-03 21:43:40,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",145
2025-12-03 21:43:40,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",165.5
2025-12-03 21:43:40,cloudping Huawei,ap-southeast-3,Singapore,189
2025-12-03 21:43:40,cloudping Huawei,ap-southeast-1,"Hong Kong, China",220
2025-12-03 21:43:40,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",231
2025-12-03 21:43:40,cloudping Huawei,la-south-2,"Santiago, Chile",235
2025-12-03 21:43:40,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",246.5
2025-12-03 21:43:40,cloudping Huawei,af-south-1,"Johannesburg, South Africa",268
2025-12-03 21:43:40,cloudping Huawei,cn-east-3,Shanghai 1,210
2025-12-03 21:43:40,cloudping Huawei,cn-north-9,Wulanchabu,218
2025-12-03 21:43:40,cloudping Huawei,cn-north-1,Beijing 1,226.5
2025-12-03 21:43:40,cloudping Huawei,cn-east-2,Shanghai 2,232.5
2025-12-03 21:43:40,cloudping Huawei,cn-south-1,Guangzhou,234
2025-12-03 21:43:40,cloudping Huawei,cn-north-4,Beijing 4,256
2025-12-03 21:43:40,cloudping Huawei,cn-southwest-2,Guiyang 1,259
2025-12-03 22:10:42,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",143
2025-12-03 22:10:42,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",152
2025-12-03 22:10:42,cloudping Huawei,ap-southeast-3,Singapore,183
2025-12-03 22:10:42,cloudping Huawei,ap-southeast-1,"Hong Kong, China",216.5
2025-12-03 22:10:42,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",254.5
2025-12-03 22:10:42,cloudping Huawei,la-south-2,"Santiago, Chile",282
2025-12-03 22:10:42,cloudping Huawei,af-south-1,"Johannesburg, South Africa",313
2025-12-03 22:10:42,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",530
2025-12-03 22:10:42,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",143
2025-12-03 22:10:42,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",152
2025-12-03 22:10:42,cloudping Huawei,ap-southeast-3,Singapore,183
2025-12-03 22:10:42,cloudping Huawei,ap-southeast-1,"Hong Kong, China",216.5
2025-12-03 22:10:42,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",254.5
2025-12-03 22:10:42,cloudping Huawei,la-south-2,"Santiago, Chile",282
2025-12-03 22:10:42,cloudping Huawei,af-south-1,"Johannesburg, South Africa",313
2025-12-03 22:10:42,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",530
2025-12-03 22:10:42,cloudping Huawei,cn-east-2,Shanghai 2,199
2025-12-03 22:10:42,cloudping Huawei,cn-north-9,Wulanchabu,220
2025-12-03 22:10:42,cloudping Huawei,cn-south-1,Guangzhou,239
2025-12-03 22:10:42,cloudping Huawei,cn-east-3,Shanghai 1,243.5
2025-12-03 22:10:42,cloudping Huawei,cn-north-4,Beijing 4,249.5
2025-12-03 22:10:42,cloudping Huawei,cn-north-1,Beijing 1,250
2025-12-03 22:10:42,cloudping Huawei,cn-southwest-2,Guiyang 1,254.5
2025-12-03 22:37:46,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",143.5
2025-12-03 22:37:46,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",168
2025-12-03 22:37:46,cloudping Huawei,ap-southeast-3,Singapore,186.5
2025-12-03 22:37:46,cloudping Huawei,ap-southeast-1,"Hong Kong, China",218
2025-12-03 22:37:46,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",231
2025-12-03 22:37:46,cloudping Huawei,la-south-2,"Santiago, Chile",247.5
2025-12-03 22:37:46,cloudping Huawei,af-south-1,"Johannesburg, South Africa",249
2025-12-03 22:37:46,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",302
2025-12-03 22:37:46,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",143.5
2025-12-03 22:37:46,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",168
2025-12-03 22:37:46,cloudping Huawei,ap-southeast-3,Singapore,186.5
2025-12-03 22:37:46,cloudping Huawei,ap-southeast-1,"Hong Kong, China",218
2025-12-03 22:37:46,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",231
2025-12-03 22:37:46,cloudping Huawei,la-south-2,"Santiago, Chile",247.5
2025-12-03 22:37:46,cloudping Huawei,af-south-1,"Johannesburg, South Africa",249
2025-12-03 22:37:46,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",302
2025-12-03 22:37:46,cloudping Huawei,cn-south-1,Guangzhou,220.5
2025-12-03 22:37:46,cloudping Huawei,cn-north-9,Wulanchabu,225.5
2025-12-03 22:37:46,cloudping Huawei,cn-north-1,Beijing 1,227.5
2025-12-03 22:37:46,cloudping Huawei,cn-east-3,Shanghai 1,228
2025-12-03 22:37:46,cloudping Huawei,cn-southwest-2,Guiyang 1,235.5
2025-12-03 22:37:46,cloudping Huawei,cn-east-2,Shanghai 2,237.5
2025-12-03 22:37:46,cloudping Huawei,cn-north-4,Beijing 4,256.5
2025-12-03 23:04:48,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",146.5
2025-12-03 23:04:48,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",184
2025-12-03 23:04:48,cloudping Huawei,ap-southeast-3,Singapore,191.5
2025-12-03 23:04:48,cloudping Huawei,ap-southeast-1,"Hong Kong, China",214
2025-12-03 23:04:48,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",229
2025-12-03 23:04:48,cloudping Huawei,af-south-1,"Johannesburg, South Africa",332
2025-12-03 23:04:48,cloudping Huawei,la-south-2,"Santiago, Chile",375
2025-12-03 23:04:48,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",452.5
2025-12-03 23:04:48,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",146.5
2025-12-03 23:04:48,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",184
2025-12-03 23:04:48,cloudping Huawei,ap-southeast-3,Singapore,191.5
2025-12-03 23:04:48,cloudping Huawei,ap-southeast-1,"Hong Kong, China",214
2025-12-03 23:04:48,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",229
2025-12-03 23:04:48,cloudping Huawei,af-south-1,"Johannesburg, South Africa",332
2025-12-03 23:04:48,cloudping Huawei,la-south-2,"Santiago, Chile",375
2025-12-03 23:04:48,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",452.5
2025-12-03 23:04:48,cloudping Huawei,cn-north-9,Wulanchabu,229
2025-12-03 23:04:48,cloudping Huawei,cn-southwest-2,Guiyang 1,245.5
2025-12-03 23:04:48,cloudping Huawei,cn-south-1,Guangzhou,247
2025-12-03 23:04:48,cloudping Huawei,cn-north-1,Beijing 1,254.5
2025-12-03 23:04:48,cloudping Huawei,cn-north-4,Beijing 4,258.5
2025-12-03 23:04:48,cloudping Huawei,cn-east-3,Shanghai 1,259
2025-12-03 23:04:48,cloudping Huawei,cn-east-2,Shanghai 2,305
2025-12-03 23:31:50,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-03 23:31:50,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",176.5
2025-12-03 23:31:50,cloudping Huawei,ap-southeast-1,"Hong Kong, China",212.5
2025-12-03 23:31:50,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",223
2025-12-03 23:31:50,cloudping Huawei,ap-southeast-3,Singapore,235.5
2025-12-03 23:31:50,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",242
2025-12-03 23:31:50,cloudping Huawei,la-south-2,"Santiago, Chile",247.5
2025-12-03 23:31:50,cloudping Huawei,af-south-1,"Johannesburg, South Africa",1336.5
2025-12-03 23:31:50,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-03 23:31:50,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",176.5
2025-12-03 23:31:50,cloudping Huawei,ap-southeast-1,"Hong Kong, China",212.5
2025-12-03 23:31:50,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",223
2025-12-03 23:31:50,cloudping Huawei,ap-southeast-3,Singapore,235.5
2025-12-03 23:31:50,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",242
2025-12-03 23:31:50,cloudping Huawei,la-south-2,"Santiago, Chile",247.5
2025-12-03 23:31:50,cloudping Huawei,af-south-1,"Johannesburg, South Africa",1336.5
2025-12-03 23:31:50,cloudping Huawei,cn-north-1,Beijing 1,222.5
2025-12-03 23:31:50,cloudping Huawei,cn-south-1,Guangzhou,228.5
2025-12-03 23:31:50,cloudping Huawei,cn-east-2,Shanghai 2,239.5
2025-12-03 23:31:50,cloudping Huawei,cn-southwest-2,Guiyang 1,241.5
2025-12-03 23:31:50,cloudping Huawei,cn-east-3,Shanghai 1,242.5
2025-12-03 23:31:50,cloudping Huawei,cn-north-9,Wulanchabu,266.5
2025-12-03 23:31:50,cloudping Huawei,cn-north-4,Beijing 4,273.5
2025-12-03 23:58:53,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-03 23:58:53,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",154.5
2025-12-03 23:58:53,cloudping Huawei,ap-southeast-3,Singapore,192
2025-12-03 23:58:53,cloudping Huawei,ap-southeast-1,"Hong Kong, China",221.5
2025-12-03 23:58:53,cloudping Huawei,af-south-1,"Johannesburg, South Africa",237.5
2025-12-03 23:58:53,cloudping Huawei,ap-southeast-2,"Bangkok, Thailand",245
2025-12-03 23:58:53,cloudping Huawei,sa-brazil-1,"Sao Paulo, Brazil",246.5
2025-12-03 23:58:53,cloudping Huawei,la-south-2,"Santiago, Chile",294
2025-12-03 23:58:53,cloudping Huawei,na-mexico-1,"Mexico City 1, Mexico",144.5
2025-12-03 23:58:53,cloudping Huawei,la-north-2,"Mexico City 2, Mexico",154.5
2025-12-03 23:58:53,cloudping Huawei,ap-southeast-3,Singapore,192
2025-12-03 23:58:53,cloudping Huawei,ap-southeast-1,"Hong Kong, China",221.5
